Primary Melee Line,Age,Headwear,Body Garment / Leg / Footwear,"Signature Props (Items, Weapons, Shields, Accessories, etc.)",Historical Description
Cataphract,Classical,"Full face-covering helmet - a smooth metal mask with narrow eye slits and a nose ridge, often with a mail aventail to the shoulders. Blank and inhuman; that is the entire point. TC crest or small TC pennant at the crown, TC edging on the aventail.","Head-to-ankle scale armor: roughly 1,300 small overlapping scales, 1-2mm thick, laced and sewn to a leather backing, covering torso, ARMS AND LEGS - the silhouette is uniformly geometric with no exposed cloth or skin anywhere. Mail beneath at the joints. TC tabard band across the chest and a TC sash at the waist. Scale boots.","Kontos lance ~4m, gripped TWO-HANDED so there is NO SHIELD - historically correct and a strong distinctive pose. Iron point. A strap or chain runs from the horse's harness to the rider, transferring the charge's momentum into the thrust. Sword and mace at the belt. HORSE: SECTIONAL scale barding - separate armored panels for head (chamfron), neck, chest and flanks, not one continuous suit - with TC caparison edging and a TC plume on the chamfron.","Parthian and Sassanid cataphracts, c. 323 BC to 651 AD, adopted by the Seleucids after Alexander. A full suit ran about 1,300 scales and 40kg, wired and sewn onto a hide backing. The horse's barding is sectional - separate scale panels for head, neck, chest and flanks - which is worth modeling as distinct pieces because it reads as real armor rather than a texture. The kontos was held in both hands with no shield, and a strap linking rider to harness let the horse's mass rather than the arm deliver the blow. Rider and horse both fully scaled with a blank masked face is the most alien, least human silhouette in the ancient world, which is exactly what the age's shock unit should be."
Knight,Medieval,"Bascinet with a hounskull (pig-faced pointed) visor and a mail aventail over the shoulders. The pointed snout gives a sharper, more aggressive read than the Vanguard's flat great helm, so your two medieval heavies stay distinct. Bright polished steel; TC crest and TC edging on the aventail's cloth border.","Full plate harness: cuirass, fauld and tassets, pauldrons, articulated arm and leg harness, sabatons. Bright polished steel - brighter and smoother than any earlier armor in the game. TC surcoat/jupon fitted over the breastplate, TC belt. Matte grey mail voiders showing at the armpits and groin; that contrast between matte mail and bright plate is what sells the material.","Couched lance with a vamplate hand-guard, painted in a TC-and-heraldic spiral. Arming sword and rondel dagger at the belt. Small heater shield in TC with one bold charge. HORSE: full heraldic caparison in TC covering the body to the fetlocks, steel chamfron on the head, TC plume. Biggest, heaviest mount in the game - deepest chest, thickest legs.","Western European knight, 15th c. for the full plate. Keep the timeline straight: mail alone through the 13th c., transitional mail-and-plate c. 1330s-1410s, and full plate harness only from about the 1420s. The hounskull-visored bascinet is the quintessential Hundred Years' War head, c. 1360-1420 (Agincourt, 1415). The heraldic caparison peaks in the 13th-14th c. and is off real battlefields by the early 15th, surviving in tournaments - so a full-plate knight in a caparison compresses eras slightly, but it is a very common and very readable compression. On the horse: the destrier was a prime charger costing seven or eight times an ordinary horse, but recent archaeology finds most medieval warhorses stood under 147cm, smaller than the popular image. Scale it up for readability, just know you are doing it."
Dragoon,Enlightenment,"Tricorne with TC cockade and gold lace edging, over a queued wig. Late-period alternative: crested brass helmet with a fur turban and horsehair mane (French, 1762 onward - do not use it for anything earlier).","Long-skirted TC uniform coat with contrasting facings on cuffs and lapels, gold buttons in pairs; TC waistcoat; buff leather breeches; HEAVY THIGH-HIGH BLACK RIDING BOOTS with spurs - the boots are the single clearest mounted-infantry tell against the Musketeer's buckled shoes. White crossbelts over the chest.","Short flintlock carbine / musketoon carried on a shoulder-belt swivel or in a saddle boot. Straight sword at the hip, pair of pistols in pommel holsters. HORSE: military saddle with pommel holsters, blanket roll or valise at the cantle, TC shabraque (saddle cloth) with gold lace edging and a corner device. NO barding - this age's cavalry is fast and unarmored.","Dragoons emerged in the early 17th century as mounted infantry - men who rode to the fight and dismounted to shoot - and were organized and ranked as infantry rather than cavalry. The carbine or musketoon is the defining weapon; French dragoons carried a blunderbuss called a dragon, which may be where the name comes from. Early dragoons wore a soft cloth cap, sometimes fur-fronted, specifically so a slung musket strap would clear the head; the tricorne takes over through the 18th century, and the crested brass helmet with fur turban and horsehair mane is a late arrival (French, 1762). By the later 1700s dragoons functioned as ordinary line cavalry despite the name."
,,,,,
Healer Line,Age,Headwear,Body Garment / Leg / Footwear,"Signature Props (Items, Weapons, Shields, Accessories, etc.)",Historical Description
Priest,Classical,"Shaved head with ONE long braided sidelock hanging over the right ear to the shoulder - the sem-priest's mark, and a genuinely distinctive head silhouette (a bald head alone reads as nothing at zoom). TC ribbon binding the sidelock. Alternative for a stronger vertical read: the Roman flamen's apex, a wool skullcap with an olive-wood spike on top.","Leopard pelt draped over the LEFT shoulder, paws tied across the chest, head and tail hanging - tawny gold with black rosettes. The asymmetric drape is what gives the silhouette. Beneath it, a bleached white pleated linen kilt to mid-calf and a broad beaded collar. TC on the sash under the pelt and in the collar's bead rows. Bare feet or papyrus sandals.","Was-staff, or a long ritual censer with a curling smoke wisp (the smoke doubles as your heal VFX anchor). Small libation vessel at the belt. Nothing weaponlike anywhere. Pelt plus sidelock plus staff should say holy man at any zoom level. No shield.","Egyptian sem-priest, attested from roughly 3000 BC through the Roman period, chosen here because the spotted pelt is the most unmistakable priest read in the ancient world. Two details worth having right: the sem-priest who performed the Opening of the Mouth ceremony is identified in the record by the sidelock of youth rather than a shaven head, while full body-shaving is a separate and well-attested general priestly purity practice (Herodotus says priests shaved every other day). Combining the two is defensible and the sidelock gives you a silhouette a bald head cannot. The main alternative is the Roman flamen, whose apex - an olive-wood spike on a wool cap, legally required to be worn in public, and disqualifying if it fell off mid-rite - is arguably an even stronger shape at small scale, though it gives up the pelt's color read."
,,,,,
Melee Siege,Age,Headwear,Body Garment / Leg / Footwear,"Signature Props (Items, Weapons, Shields, Accessories, etc.)",Historical Description
Battering Ram,Iron,"Crew: tall pointed bronze conical helmets with TC plumes, including the archer in the turret. Matches the Iron Age infantry so the age reads as one army.","Crew: knee-length fringed TC tunics, iron scale corslets over the torso only, tall laced leather boots.","Six-wheeled timber housing with a domed or pitched roof, clad in TAN BASKET-WEAVE WICKER panels and greyish hide over the frame - the woven texture is the entire material read, so give it a proper tiling pattern rather than flat planks. An open turret rises ~3m above the roof with an archer inside. A ~5m ram beam HANGS ON ROPES from the roof frame and swings pendulum-style rather than being pushed rigid. The head is a metal-plated CHISEL/BLADE shape for prying mudbrick courses apart - not a blunt knob and not a ram's-head casting. TC on the roof banner, turret shield panel and hide side-curtains.","Neo-Assyrian siege ram, 9th-7th c. BC, from the Nimrud reliefs of Ashurnasirpal II (883-859 BC) and the Lachish reliefs of Sennacherib (the siege of 701 BC) - the earliest well-depicted siege engine anywhere in the world. Ashurnasirpal's type runs on six wheels with a raised turret for an archer giving covering fire; by Sennacherib's time they get lighter, drop to four wheels, and are deployed in multiples against one stretch of wall. The beam hung from ropes so it swung, and the head was a bladed chisel for gouging mudbrick apart rather than a blunt hammer. Wicker and hide covering, often wetted, was the standard anti-incendiary measure of the period."
Cannon,Enlightenment,Crew: tricorne with TC cockade; gunner in a leather apron.,"Crew: TC coat with contrasting facings, waistcoat, knee breeches, black campaign gaiters buttoned up the outside (white gaiters are parade dress - black hid dirt in the field).","Gribeauval-pattern field gun. Tapered cast BRONZE barrel - warm amber-brown patinating to dark olive, NOT bright toy-gold and NOT rust-brown - with integral trunnions seated in the carriage cheeks and an elevating SCREW at the breech. Two-wheeled wooden carriage, ~146cm wheels with iron tires, long trail. Separate two-wheeled limber with an ammunition chest hooks to the trail for towing. Rammer, sponge, worm and linstock racked on the carriage; shot pyramid alongside. TC on carriage woodwork, limber chest and crew coats.","Gribeauval system, French royal ordinance of 3 October 1774, in service from 1776 through the Napoleonic Wars - the first artillery built to standardized calibers (4-, 8- and 12-pounder plus a 6-inch howitzer) with interchangeable parts across the whole train. Field and siege guns were high-tin bronze; iron was reserved for mortars. That material choice matters for your palette: bronze reads warm brown-gold to olive patina, while the cast-iron guns of other national systems read matte black-charcoal. Getting that tone wrong is the most common cannon error in games. Field guns used a screw for elevation with about 8 degrees of range; older siege patterns used wooden quoin wedges instead."
,,,,,
Ranged Siege,Age,Headwear,Body Garment / Leg / Footwear,"Signature Props (Items, Weapons, Shields, Accessories, etc.)",Historical Description
Catapult,Iron,"Crew: Assyrian-pattern pointed bronze conical helmets with TC plumes, matching the Battering Ram so the siege tier reads as one set.","Crew: fringed knee-length TC tunics, iron scale corslets, tall laced leather boots.","Two-armed torsion stone-thrower (lithobolos / palintone). Heavy tan-brown weathered timber A-frame with TWO VERTICAL SPRING FRAMES, each holding a thick bundle of off-white twisted sinew rope - give those bundles real geometry, because the twisted rope IS the visual identity of a torsion engine. Two throwing arms swing inward to a central bowstring; long stock/slider down the middle with a winch and pawl at the rear; stone ball in the cradle. Iron fittings dark grey-black. TC on painted frame panels and a banner on the rear post.","Honest flag: there were no catapults of any kind in the Iron Age. The earliest mechanical artillery is the Greek gastraphetes, a belly-braced composite bow on a stock, from before about 420 BC. The oxybeles follows around 375 BC, and true torsion engines powered by twisted sinew springs arrive about 340 BC under Philip II's engineers, with the first hard evidence in an Athenian arsenal inventory of 338-326 BC. So this engine sits roughly 300 years ahead of its slot. Two clean ways to handle it: keep the torsion design and accept the anachronism, since it looks right and players will read it as generic ancient siege; or swap it for an Assyrian wheeled siege tower or a stone-lobbing crew, which is genuinely 8th-7th c. BC. Also worth knowing for later: the one-armed Roman onager everyone pictures is late, first described in 353 AD, so it is wrong for a legionary-era Roman unit too."
Trebuchet,Medieval,Crew: chaperon hoods in TC wool; the master carpenter in a coif and flat cap.,"Crew: TC wool tunics to the knee, hose, leather aprons, turnshoes. Engineers and carpenters, not soldiers.","Counterweight trebuchet. Tall stout timber A-frame in weathered grey-brown with dark iron-strapped joints. Beam up to ~15m pivoting on a high axle; the short end carries a large iron-banded timber COUNTERWEIGHT BOX, hinged so it swings, filled with stone; the long end carries a hemp rope sling with a fixed release hook. Winch, rope and pawl at the base, ladder up the frame. TC on painted frame panels, the counterweight box face and a banner at the top of the A-frame.","The counterweight trebuchet is genuinely medieval - first clearly described in 1187 by Mardi ibn Ali al-Tarsusi writing about Saladin's siege engines, with the exact point of invention still disputed between Byzantine, Crusader and Islamic Mediterranean engineers. European peak use is 13th-15th c.; Edward I's Warwolf at Stirling Castle in 1304 is the famous example. Do not confuse it with the earlier traction trebuchet, which is Chinese, attested by the 4th c. BC, and powered by a team hauling ropes on the short arm - visually that one has a fan of pull-ropes and a visible crew, while yours has a big hinged weight box and a winch. Gunpowder made the whole type obsolete by the 15th-16th c."
Culverin,Enlightenment,"Crew: tricorne with TC cockade, as the Cannon crew.","Crew: TC coat with contrasting facings, waistcoat, breeches, black gaiters, gunner's leather apron.","LONG, SLENDER gun - barrel length is the entire read. 25-32 calibers long, visibly thinner and much longer than the Cannon's tapered field piece so the two never get confused in a build menu. Cast bronze in warm amber-brown with olive patina, or matte black-charcoal cast iron for the cheaper variant. Reinforcing rings and dolphin lifting handles along the barrel, trunnions at the balance point. Heavier siege carriage with larger wheels, or a low four-wheeled naval truck carriage for the emplaced look. QUOIN WEDGE under the breech rather than an elevating screw. Rammer, sponge and shot pyramid alongside. TC on carriage timbers.","The culverin is a Renaissance and early-modern gun, developed in the late 15th c. and in main service through the 16th-17th c. It is defined by proportion rather than caliber: a barrel 25-32 calibers long against a standard cannon's short thick tube. That geometry buys velocity, flat trajectory and range at the cost of raw wall-smashing power - which is why culverins and demi-culverins were the English long-range naval guns against the Spanish Armada in 1588, engaging out to around 2,000 yards, and why in siege work they fired roughly eight aimed rounds an hour against defenders and works rather than battering the wall itself."
,,,,,
Villager,Age,Headwear,Body Garment / Leg / Footwear,"Signature Props (Items, Weapons, Shields, Accessories, etc.)",Historical Description
Villager (Stone Age),Stone,"Hide skullcap, or bare head with a TC hide headband. Hair loose with a matted texture rather than styled.","Stitched hide tunic or coat of ALTERNATING DARK AND LIGHT HIDE STRIPS - the Otzi stripe pattern, a historically grounded texture read that costs zero polygons - belted at the waist. Separate hide leggings tied up to the belt. TC loincloth or belt-cloth. Bark-net and hide shoes stuffed with grass.","Antler pick, flint axe, woven grass carry-basket, birch-bark container, digging stick. Work poses: knapping flint, hauling a bundle, tending a hearth, scraping a hide on a frame.","Otzi the Iceman (c. 3300 BC) sets the standard and it is worth using: a goat-and-sheep-hide coat sewn from alternating dark and light strips into a natural stripe, separate goatskin leggings lashed to a belt, a sheepskin loincloth, a calfskin belt with a tool pouch, and deerskin-and-bearskin shoes built on a woven linden-bark net stuffed with grass insulation. Five animal species, tailored, and visibly repaired with grass-fiber stitching. The single-draped-fur caveman look is wrong - Stone Age clothing was technical, and showing that is both more accurate and more interesting to look at."
Villager (Bronze Age),Bronze,"Bare head with short cropped dark hair, or a folded linen head-cloth with a TC band. Women: a simple linen headband.","Natural CREAM linen wrap kilt (schenti) belted at the waist - plain and short for laborers - with a TC sash or TC-patterned hem band; bare torso; barefoot. Women: ankle-length linen sheath dress on shoulder straps with a TC shawl. Keep linen off-white and undyed, not bleached bright white.","Bronze sickle, hoe, woven reed basket, shoulder yoke carrying two water jars, pottery amphora, mudbrick mould.","Egypt and the Aegean, c. 1550-1100 BC. The schenti kilt was worn by every social class - what changed with rank was fabric fineness, pleating and length, not the shape of the garment. So distinguish villagers from elites through cloth quality and accessories rather than a different silhouette. Linen was almost always left undyed, giving you an off-white, cream and pale-tan palette rather than bright colors. Most people went barefoot day to day, with reed or leather sandals reserved for occasions, and heads were commonly shaved for lice control with wigs kept for formal wear."
Villager (Iron Age),Iron,Undyed wool cap or a simple hood; hair tied back; TC headband or cap band.,"Knee-length wool tunic, undyed or madder-dyed, with a TC waist sash and a fringed hem; wool trousers or bare legs; leather belt; laced leather shoes or short boots. A CHECKED or striped wool cloak pinned at one shoulder with a bronze fibula - woven check is a real Iron Age textile signature and reads beautifully at low resolution.","Iron sickle, iron-shod spade, hand quern, wool distaff and spindle, iron axe, wicker hurdle panels.","Iron Age Europe and the Near East, c. 800-500 BC. The meaningful change this age is economic: iron ore is widespread in places where tin for bronze was rare and had to be traded across continents, so ordinary farmers get metal tools for the first time. A villager holding an iron sickle rather than a bronze one is a genuine historical upgrade, not just a prop swap. Woven checks and stripes in madder red, weld yellow, woad blue and undyed brown-grey are all well attested in surviving Iron Age textiles, so the civilian palette can get noticeably more colorful this age even as the military palette goes cold grey."
Villager (Classical Age),Classical,"Conical brimless felt pilos cap in undyed cream, or a broad straw sun hat for field workers. TC band.","Exomis - short tunic with the right shoulder unpinned, freeing the working arm and giving a strong asymmetric silhouette - in natural linen or TC wool, belted at the waist, hem at mid-thigh. Bare legs, leather sandals or bare feet. Short cloak on some variants.","Iron sickle and pruning hook, mattock, amphora, wicker basket, handcart, mason's mallet and chisel, surveying groma for the builder variant.","Greek and Roman working dress, c. 500 BC-300 AD. The exomis is specifically the garment of laborers and light infantry: two rectangles sewn into a cylinder with the right shoulder seam left open or pinned so the working arm is free - which is why the same cut shows up on your Composite Archer. The pilos was the ordinary brimless felt cap of travelers, workmen and sailors. Roman farm work centered on the villa rustica, an estate deliberately split between the owner's residence and the working half of barns, presses, stables and quarters."
Villager (Medieval Age),Medieval,"Chaperon hood with a short liripipe, or a coif tied under the chin; straw hat for harvest workers. TC on the hood. Women: linen wimple or veil.","Wool cotehardie/tunic to the knee over a linen shirt, TC field, leather belt with a hanging pouch; wool hose; ankle-length turnshoes. Apron on craft variants. Women: long wool kirtle, TC apron. Visible patching and mending is accurate and adds character at no polygon cost.","Scythe, flail, wooden bucket yoke, axe and adze, carpenter's saw, handcart, sack of grain, shepherd's crook.","Western Europe, c. 1100-1450. Peasant dress is genuinely simple - a belted wool tunic over a linen shirt, hose, and turnshoes, made sole-inward and then turned right side out - and the hood with a liripipe tail was universal headwear across every class. Cloth was a household's largest expense after food, so garments were patched, re-dyed and handed down for years; visible mending is historically correct rather than a shortcut. These are the villagers who belong beside the tithe barn and the timber-framed jettied house."
Villager (Enlightenment Age),Enlightenment,"Round-crowned felt hat with a modest brim, or a knitted wool cap; women in a linen mob cap. TC hat band.","TC wool waistcoat over a linen shirt with sleeves rolled; knee breeches, wool stockings, buckled leather shoes; canvas or leather work apron. Women: linen shift, TC petticoat and bodice, apron, neckerchief.","Iron-shod spade, scythe, flail, wooden wheelbarrow, hand-cranked winnowing fan, cooper's tools and barrel, sack truck, seed drill for the farm variant.","Britain and colonial America, 17th-18th c., during the agricultural revolution. This is the age when farm work begins to mechanize: Andrew Meikle's threshing machine of 1786 and the enclosure-driven model farms with purpose-built cattle byres and field barns change the whole working landscape. The threshing barn is the signature structure - a large aisled barn with opposing wagon doors deliberately aligned to the prevailing wind, so the draft blowing through the open doorway winnows chaff from grain on the threshing floor. Working dress is waistcoat, shirt, breeches and stockings, with a canvas or leather apron varying by trade."
